DB00001	Lepirudin
DB11644	Tafamidis
DB11652	Tucatinib
DB11653	Bremelanotide
DB11656	Rebamipide
DB11660	Latanoprostene bunod
DB11677	Triheptanoin
DB11678	Treosulfan
DB11689	Selumetinib
DB11691	Naldemedine
DB11693	Voclosporin
DB11697	Pacritinib
DB11699	Tropisetron
DB11700	Setmelanotide
DB11703	Acalabrutinib
DB11712	Tezacaftor
DB11714	Durvalumab
DB11718	Encorafenib
DB11730	Ribociclib
DB11732	Lasmiditan
DB11738	Rilmenidine
DB11739	Vonoprazan
DB11742	Ebastine
DB11748	Benfotiamine
DB11750	Clobetasol
DB11751	Cabotegravir
DB11753	Rifamycin
DB11757	Istradefylline
DB11760	Talazoparib
DB11761	Tenapanor
DB11767	Sarilumab
DB11771	Tremelimumab
DB11776	Brodalumab
DB11788	Neuropeptide Y
DB11791	Capmatinib
DB11793	Niraparib
DB11796	Fostemsavir
DB11799	Bictegravir
DB11800	Tivozanib
DB11817	Baricitinib
DB11820	Nifurtimox
DB11823	Esketamine
DB11827	Ertugliflozin
DB11828	Neratinib
DB11834	Guselkumab
DB11837	Osilodrostat
DB11842	Angiotensin II
DB11850	Ublituximab
DB11853	Relugolix
DB11855	Revefenacin
DB11859	Brexanolone
DB11866	Romosozumab
DB11886	Infigratinib
DB11901	Apalutamide
DB11915	Valbenazine
DB11921	Deflazacort
DB11928	Vosoritide
DB11932	Abametapir
DB11936	Bempedoic acid
DB11942	Selinexor
DB11943	Delafloxacin
DB11945	Avelumab
DB11951	Lemborexant
DB11952	Duvelisib
DB11963	Dacomitinib
DB11967	Binimetinib
DB11976	Anifrolumab
DB11978	Glasdegib
DB11979	Elagolix
DB11986	Entrectinib
DB11988	Ocrelizumab
DB11989	Benznidazole
DB11994	Diacerein
DB11995	Avatrombopag
DB12001	Abemaciclib
DB12010	Fostamatinib
DB12015	Alpelisib
DB12016	Ponesimod
DB12020	Tecovirimat
DB12023	Benralizumab
DB12026	Voxilaprevir
DB12035	Sarecycline
DB12070	Letermovir
DB12095	Telotristat ethyl
DB12097	Mannitol busulfan
DB12107	Vaborbactam
DB12127	Sultamicillin
DB12130	Lorlatinib
DB12141	Gilteritinib
DB12147	Erdafitinib
DB12151	Brincidofovir
DB12153	Citicoline
DB12159	Dupilumab
DB12161	Deutetrabenazine
DB12169	Tralokinumab
DB12208	Iron isomaltoside 1000
DB12235	Estetrol
DB12240	Polatuzumab vedotin
DB12243	Edaravone
DB12245	Triclabendazole
DB12265	Fexinidazole
DB12267	Brigatinib
DB12274	Aducanumab
DB12277	Polihexanide
DB12278	Propiverine
DB12281	Luspatercept
DB12293	Nefopam
DB12301	Doravirine
DB12313	Dopexamine
DB12329	Eravacycline
DB12332	Rucaparib
DB12343	Temocillin
DB12364	Betrixaban
DB12366	Vestronidase alfa
DB12371	Siponimod
DB12374	Velmanase alfa
DB12377	Relebactam
DB12401	Bromperidol
DB12455	Omadacycline
DB12457	Rimegepant
DB12466	Favipiravir
DB12471	Ibrexafungerp
DB12474	Lynestrenol
DB12480	Betulinic Acid
DB12483	Copanlisib
DB12489	Mirvetuximab soravtansine
DB12492	Piritramide
DB12498	Mogamulizumab
DB12499	Clascoterone
DB12500	Fedratinib
DB12523	Mizolastine
DB12529	Nitrite
DB12530	Inebilizumab
DB12532	Oxetacaine
DB12543	Samidorphan
DB12554	Mebeverine
DB12597	Asciminib
DB12612	Ozanimod
DB12615	Plazomicin
DB12667	Protionamide
DB12674	Lurbinectedin
DB12688	Moxetumomab pasudotox
DB12698	Ibalizumab
DB12710	Perazine
DB12713	Sotagliflozin
DB12728	Fenpropidin
DB12767	Gaxilose
DB12783	Benserazide
DB12789	Dinoprost
DB12808	Trifarotene
DB12825	Lefamulin
DB12834	Secnidazole
DB12835	Olipudase alfa
DB12836	Grapiprant
DB12839	Pegvaliase
DB12865	Etelcalcetide
DB12867	Benperidol
DB12877	Oxatomide
DB12887	Tazemetostat
DB12893	Sacituzumab govitecan
DB12909	Factor XIII (human)
DB12911	Nicoboxil
DB12917	Bimekizumab
DB12924	Ozenoxacin
DB12938	Isoxaflutole
DB12941	Darolutamide
DB12945	Dihydralazine
DB12952	Methylprednisone
DB12954	Terizidone
DB12978	Pexidartinib
DB13007	Enfortumab vedotin
DB13055	Oteseconazole
DB13114	Amitriptylinoxide
DB13125	Lusutrombopag
DB13133	Von Willebrand factor human
DB13136	Fluindione
DB13139	Levosalbutamol
DB13140	Bezlotoxumab
DB13144	Lenograstim
DB13145	Nedaplatin
DB13148	Coagulation factor X human
DB13149	Protein S human
DB13150	Coagulation factor VII human
DB13151	Anti-inhibitor coagulant complex
DB13152	Coagulation Factor IX Human
DB13154	Parachlorophenol
DB13156	Inosine pranobex
DB13157	Sodium lauryl sulfoacetate
DB13158	Clobetasone
DB13161	Nusinersen
DB13163	Terpin hydrate
DB13166	Zofenopril
DB13167	Alclofenac
DB13170	Plecanatide
DB13179	Troleandomycin
DB13180	Gluconic Acid
DB13192	Antihemophilic factor human
DB13198	Pepsin
DB13200	Lipegfilgrastim
DB13211	Guanoxan
DB13219	Medifoxamine
DB13222	Tilbroquinol
DB13225	Dibenzepin
DB13228	Flosequinan
DB13246	Quinupramine
DB13248	Phthalylsulfathiazole
DB13253	Proxibarbal
DB13256	Clothiapine
DB13259	Ethyl chloride
DB13262	Aceclidine
DB13265	Hexobendine
DB13267	Ritiometan
DB13270	Dibekacin
DB13273	Sultopride
DB13274	Micronomicin
DB13277	Benziodarone
DB13279	Carbocromen
DB13284	Meticrane
DB13286	Bumadizone
DB13287	Miocamycin
DB13288	Tromantadine
DB13292	Pimethixene
DB13295	Atracurium
DB13322	Hydrotalcite
DB13337	Pheneticillin
DB13345	Dihydroergocristine
DB13346	Bufexamac
DB13372	Calcium alginate
DB13381	Sodium feredetate
DB13421	Edoxudine
DB13501	Bendazac
DB13503	Tyrothricin
DB13518	Alginic acid
DB13520	Metergoline
DB13532	Cyclopenthiazide
DB13583	Mephenesin
DB13595	Almasilate
DB13615	Mifamurtide
DB13624	Methoxyphenamine
DB13657	Benorilate
DB13682	Cefpirome
DB13720	Diphemanil
DB13746	Bioallethrin
DB13761	Tilactase
DB13766	Lidoflazine
DB13781	Xamoterol
DB13783	Acemetacin
DB13838	Noxytiolin
DB13848	Fluorodopa (18F)
DB13851	Artemotil
DB13854	Gamolenic acid
DB13858	Dimazole
DB13867	Fluticasone
DB13872	Lormetazepam
DB13873	Fenofibric acid
DB13874	Enasidenib
DB13878	Pibrentasvir
DB13879	Glecaprevir
DB13881	Tisagenlecleucel
DB13882	Methyl nicotinate
DB13883	Coral snake (micrurus fulvius) immune globulin antivenin (equine)
DB13884	Albutrepenonacog alfa
DB13885	Ferric subsulfate
DB13886	Human cytomegalovirus immune globulin
DB13887	Meningococcal polysaccharide vaccine group W-135
DB13888	Meningococcal polysaccharide vaccine group Y
DB13890	Meningococcal polysaccharide vaccine group C
DB13891	Crotalus scutulatus antivenin
DB13892	Crotalus atrox antivenin
DB13893	Crotalus adamanteus antivenin
DB13894	Agkistrodon piscivorus antivenin
DB13896	Talimogene laherparepvec
DB13905	Scorpion (centruroides) immune Fab2 antivenin (equine)
DB13910	Valproate bismuth
DB13915	Axicabtagene ciloleucel
DB13923	Emicizumab
DB13926	Cenegermin
DB13928	Semaglutide
DB13931	Netarsudil
DB13932	Voretigene neparvovec
DB13933	Nonacog beta pegol
DB13941	Piperaquine
DB13943	Testosterone cypionate
DB13944	Testosterone enanthate
DB13946	Testosterone undecanoate
DB13947	Testosterone enantate benzilic acid hydrazone
DB13949	Ferric cation
DB13952	Estradiol acetate
DB13953	Estradiol benzoate
DB13954	Estradiol cypionate
DB13955	Estradiol dienanthate
DB13956	Estradiol valerate
DB13962	Calcium saccharate
DB13968	Plasma protein fraction (human)
DB13973	Remestemcel-L
DB13981	Nomegestrol acetate
DB13985	Lutetium Lu 177 dotatate
DB13995	Ferric pyrophosphate citrate
DB13997	Baloxavir marboxil
DB13998	Lonoctocog alfa
DB13999	Moroctocog alfa
DB14004	Tildrakizumab
DB14006	Choline salicylate
DB14019	Fosnetupitant
DB14033	Acetyl sulfisoxazole
DB14039	Erenumab
DB14040	Eptinezumab
DB14041	Fremanezumab
DB14042	Galcanezumab
DB14048	Sodium zirconium cyclosilicate
DB14104	Linoleic acid
DB14110	Butylene glycol
DB14113	Black widow spider antivenin (equine)
DB14114	Viper antivenom
DB14115	Human botulinum neurotoxin A/B immune globulin
DB14139	Hydroxyethyl ethylcellulose
DB14185	Aripiprazole lauroxil
DB14219	Monomethyl fumarate
DB14384	Influenza A virus A/Victoria/210/2009 X-187 (H3N2) hemagglutinin antigen (formaldehyde inactivated)
DB14385	Influenza B virus B/Brisbane/60/2008 hemagglutinin antigen (formaldehyde inactivated)
DB14394	Influenza A virus A/California/7/2009 (H1N1) live (attenuated) antigen
DB14427	Neisseria meningitidis group a capsular oligosaccharide diphtheria crm197 protein conjugate antigen
DB14428	Neisseria meningitidis group c capsular oligosaccharide diphtheria crm197 protein conjugate antigen
DB14429	Neisseria meningitidis group w-135 capsular oligosaccharide diphtheria crm197 protein conjugate antigen
DB14443	Vibrio cholerae CVD 103-HgR strain live antigen
DB14445	Influenza A virus A/Victoria/210/2009 X-187 (H3N2) antigen (formaldehyde inactivated)
DB14449	Influenza A virus A/Perth/16/2009 (H3N2) live (attenuated) antigen
DB14473	Beroctocog alfa
DB14476	DL-alpha-Tocopherol
DB14477	DL-alpha tocopheryl acetate
DB14481	Calcium phosphate dihydrate
DB14485	Zinc ascorbate
DB14498	Potassium acetate
DB14506	Lithium hydroxide
DB14507	Lithium citrate
DB14509	Lithium carbonate
DB14512	Mometasone furoate
DB14518	Aluminum acetate
DB14520	Tetraferric tricitrate decahydrate
DB14528	Chromium gluconate
DB14538	Hydrocortisone aceponate
DB14539	Hydrocortisone acetate
DB14540	Hydrocortisone butyrate
DB14541	Hydrocortisone cypionate
DB14542	Hydrocortisone phosphate
DB14543	Hydrocortisone probutate
DB14544	Hydrocortisone valerate
DB14545	Hydrocortisone succinate
DB14562	Andexanet alfa
DB14568	Ivosidenib
DB14569	Tedizolid
DB14575	Eslicarbazepine
DB14582	Patisiran
DB14583	Segesterone acetate
DB14596	Loteprednol etabonate
DB14597	Lanadelumab
DB14600	Edetate disodium anhydrous
DB14619	Influenza A virus A/Uruguay/716/2007(H3N2) antigen (propiolactone inactivated)
DB14620	Influenza A virus A/Brisbane/59/2007(H1N1) antigen (propiolactone inactivated)
DB14627	Oxyphenisatin acetate
DB14631	Prednisolone phosphate
DB14632	Prednisolone tebutate
DB14638	Diloxanide furoate
DB14642	Lypressin
DB14643	Methylprednisolone aceponate
DB14644	Methylprednisolone hemisuccinate
DB14649	Dexamethasone acetate
DB14655	Drostanolone propionate
DB14656	Chlorphenesin carbamate
DB14657	Paramethasone acetate
DB14669	Betamethasone phosphate
DB14674	Estramustine phosphate
DB14677	Gestonorone caproate
DB14684	Calcium polycarbophil
DB14700	Damoctocog alfa pegol
DB14703	Dexamethasone metasulfobenzoate
DB14707	Cemiplimab
DB14711	Smallpox (Vaccinia) Vaccine, Live
DB14712	Elapegademase
DB14713	Inotersen
DB14723	Larotrectinib
DB14724	Emapalumab
DB14726	Dabigatran
DB14730	Calaspargase pegol
DB14731	Tagraxofusp
DB14738	Turoctocog alfa pegol
DB14751	Mecasermin rinfabate
DB14753	Hydroxystilbamidine
DB14754	Solriamfetol
DB14761	Remdesivir
DB14762	Risankizumab
DB14783	Diroximel fumarate
DB14811	Isatuximab
DB14840	Ripretinib
DB14845	Filgotinib
DB14864	Brolucizumab
DB14879	Cefiderocol
DB14881	Oliceridine
DB14895	Vibegron
DB14901	Inclisiran
DB14921	Mavacamten
DB14960	Somatrogon
DB14962	Trastuzumab deruxtecan
DB14967	Margetuximab
DB14973	Abrocitinib
DB14975	Voxelotor
DB14984	Casimersen
DB14996	Sutimlimab
DB14999	Human interferon beta
DB15001	Eflapegrastim
DB15005	Viltolarsen
DB15011	Avacopan
DB15031	Daridorexant
DB15035	Zanubrutinib
DB15044	Tafasitamab
DB15066	Givosiran
DB15067	Volanesorsen
DB15071	Omidenepag isopropyl
DB15090	Tezepelumab
DB15091	Upadacitinib
DB15093	Somapacitan
DB15102	Pemigatinib
DB15119	Ropeginterferon alfa-2b
DB15133	Tepotinib
DB15149	Futibatinib
DB15171	Tirzepatide
DB15226	Dasiglucagon
DB15233	Avapritinib
DB15248	Bulevirtide
DB15258	Imlifidase
DB15270	Efgartigimod alfa
DB15271	Crizanlizumab
DB15283	Tebentafusp
DB15303	Faricimab
DB15305	Risdiplam
DB15328	Ubrogepant
DB15354	Evinacumab
DB15434	Mosunetuzumab
DB15442	Trilaciclib
DB15444	Elexacaftor
DB15456	Vericiguat
DB15463	Belzutifan
DB15465	Benzhydrocodone
DB15480	Resorcinol monoacetate
DB15528	Onasemnogene abeparvovec
DB15536	Ferric chloride
DB15561	Valoctocogene roxaparvovec
DB15566	Prednisolone acetate
DB15568	Adagrasib
DB15569	Sotorasib
DB15575	Padeliporfin
DB15576	Ethyl salicylate
DB15593	Golodirsen
DB15595	Ebola Zaire vaccine (live, attenuated)
DB15598	Ferric maltol
DB15617	Ferric derisomaltose
DB15626	Spesolimab
DB15627	Dostarlimab
DB15654	Moderna COVID-19 Vaccine
DB15656	AstraZeneca COVID-19 Vaccine
DB15679	Aluminum subacetate
DB15685	Selpercatinib
DB15690	Fluoroestradiol F-18
DB15694	Cedazuridine
DB15696	Tozinameran
DB15699	Brexucabtagene autoleucel
DB15702	Influenza B virus B/Washington/02/2019 recombinant hemagglutinin antigen
DB15718	Bamlanivimab
DB15719	Belantamab mafodotin
DB15762	Satralizumab
DB15795	Adiphenine
DB15810	Nuvaxovid
DB15822	Pralsetinib
DB15857	Janssen COVID-19 Vaccine
DB15874	Agalsidase alfa
DB15898	Atoltivimab
DB15899	Maftivimab
DB15900	Odesivimab
DB15935	Lumasiran
DB15940	Imdevimab
DB15941	Casirivimab
DB15965	Naxitamab
DB15982	Berotralstat
DB16007	Rurioctocog alfa pegol
DB16098	Atogepant
DB16099	Avalglucosidase alfa
DB16165	Finerenone
DB16220	Lonapegsomatropin
DB16222	Loncastuximab tesirine
DB16226	Maralixibat
DB16236	Mitapivat
DB16258	Nirsevimab
DB16261	Odevixibat
DB16267	Olutasidenib
DB16355	Sotrovimab
DB16385	Ansuvimab
DB16390	Mobocertinib
DB16393	Cilgavimab
DB16394	Tixagevimab
DB16405	Regdanvimab
DB16581	Darvadstrocel
DB16582	Lisocabtagene maraleucel
DB16611	Tick-borne encephalitis vaccine (whole virus, inactivated)
DB16625	Prasterone enantate
DB16627	Melphalan flufenamide
DB16628	Fosdenopterin
DB16629	Serdexmethylphenidate
DB16648	Bacillus calmette-guerin substrain russian BCG-I live antigen
DB16650	Deucravacitinib
DB16655	Teclistamab
DB16665	Idecabtagene vicleucel
DB16691	Nirmatrelvir
DB16694	Pegcetacoplan
DB16695	Amivantamab
DB16699	Vutrisiran
DB16701	Plasminogen
DB16703	Belumosudil
DB16705	Influenza A virus A/Tasmania/503/2020 IVR-221 (H3N2) antigen (formaldehyde inactivated)
DB16706	Influenza A virus A/Wisconsin/588/2019 (H1N1) recombinant hemagglutinin antigen
DB16709	Allogeneic cultured keratinocytes and dermal fibroblasts in murine collagen
DB16710	Streptococcus pneumoniae type 22F capsular polysaccharide diphtheria CRM197 protein conjugate antigen
DB16711	Streptococcus pneumoniae type 33F capsular polysaccharide diphtheria CRM197 protein conjugate antigen
DB16713	Streptococcus pneumoniae type 8 capsular polysaccharide diphtheria CRM197 protein conjugate antigen
DB16714	Streptococcus pneumoniae type 10A capsular polysaccharide diphtheria CRM197 protein conjugate antigen
DB16715	Streptococcus pneumoniae type 11A capsular polysaccharide diphtheria CRM197 protein conjugate antigen
DB16716	Streptococcus pneumoniae type 12F capsular polysaccharide diphtheria CRM197 protein conjugate antigen
DB16717	Streptococcus pneumoniae type 15B capsular polysaccharide diphtheria CRM197 protein conjugate antigen
DB16718	Influenza A virus A/Tasmania/503/2020 (H3N2) live (attenuated) antigen
DB16721	Influenza A virus A/Tasmania/503/2020 IVR-221 (H3N2) antigen (UV, formaldehyde inactivated)
DB16722	Influenza A virus A/Victoria/2570/2019 IVR-215 (H1N1) antigen (propiolactone inactivated)
DB16723	Influenza A virus A/Cambodia/e0826360/2020 IVR-224 (H3N2) antigen (propiolactone inactivated)
DB16725	Influenza A virus A/Cambodia/e0826360/2020 IVR-224 (H3N2) antigen (formaldehyde inactivated)
DB16726	Influenza A virus A/Tasmania/503/2020 (H3N2) antigen (MDCK cell derived, propiolactone inactivated)
DB16732	Tisotumab vedotin
DB16741	Bortezomib D-mannitol
DB16746	Elivaldogene autotemcel
DB16757	Plant-based virus-like particles, recombinant, adjuvanted COVID-19 vaccine
DB16778	Lutetium Lu-177 vipivotide tetraxetan
DB16780	Eladocagene exuparvovec
DB16791	Etranacogene dezaparvovec
DB16820	Letibotulinumtoxina
DB16900	Betibeglogene autotemcel
DB16901	Influenza A virus A/Norway/16606/2021 (H3N2) live (attenuated) antigen
DB16902	Influenza B virus B/Austria/1359417/2021 live (attenuated) antigen
DB16903	Influenza A virus A/Darwin/6/2021 IVR-227 (H3N2) antigen (formaldehyde inactivated)
DB16904	Influenza B virus B/Austria/1359417/2021 BVR-26 hemagglutinin antigen (formaldehyde inactivated)
DB16910	Influenza B virus B/Singapore/WUH4618/2021 antigen (MDCK cell derived, propiolactone inactivated)
DB16914	Influenza A virus A/Darwin/11/2021 (H3N2) antigen (MDCK cell derived, propiolactone inactivated)
DB16915	Influenza A virus A/Delaware/55/2019 CVR-45 (H1N1) antigen (MDCK cell derived, propiolactone inactivated)
DB16916	Influenza A virus A/Darwin/9/2021 SAN-010 (H3N2) antigen (formaldehyde inactivated)
DB16918	Influenza A virus A/Darwin/6/2021 IVR-227 (H3N2) antigen (propiolactone inactivated)
DB16919	Influenza B virus B/Austria/1359417/2021 BVR-26 antigen (propiolactone inactivated)
DB16922	Influenza A virus A/Darwin/6/2021 (H3N2) recombinant hemagglutinin antigen
DB16923	Influenza B virus B/Austria/1359417/2021 recombinant hemagglutinin antigen
DB16925	Influenza B virus B/Austria/1359417/2021 BVR-26 antigen (UV, formaldehyde inactivated)
DB17083	Linzagolix
DB17088	Famtozinameran
DB17091	Davesomeran
DB17381	Nadofaragene firadenovec
